"Key","Section","Context","en","sq","Proofreader Notes"
"contactEmail","contactEmail","General UI text","Kontakt email","Email-i i Kontaktit",""
"contactInfo","contactInfo","General UI text","Contact Information","",""
"contactInfoStep","contactInfoStep","General UI text","Contact Info","Info Kontakti",""
"contactInformation","contactInformation","General UI text","Contact Information","Informacioni i Kontaktit",""
"contactLegal","contactLegal","General UI text","Svyazatsya s yuridicheskoy komandoy","Kontakto Ekipin Ligjor",""
"contactLegalTeam","contactLegalTeam","General UI text","Contact Legal Team","Kontakto Ekipin Ligjor",""
"contactMessage","contactMessage","General UI text","Hello, I am interested in the {ar} {make} {model}. Please contact me for more details.","Përshëndetje, jam i interesuar për {year} {make} {model}. Ju lutem kontaktoni me më shumë detaje.",""
"contactName","contactName","General UI text","Contact Person","Emri i Kontaktit",""
"contactOverview","contactOverview","General UI text","If you have questions about buying a car, need help selling your vehicle, or require technical support, our team is ready to help you. Choose the most convenient way to contact us.","Nëse keni pyetje për blerjen e një makine, keni nevojë për ndihmë për të shitur automjetin tuaj, ose keni nevojë për mbështetje teknike, ekipi ynë i përkushtuar është këtu për t\",""
"contactPerson","contactPerson","General UI text","Contact Person","Contact Person",""
"contactPhone","contactPhone","General UI text","Kontakt Phone","Telefoni i Kontaktit",""
"contactPreferences","contactPreferences","General UI text","Contact Preferences","Preferencat e kontaktit",""
"contactPrivacyTeam","contactPrivacyTeam","General UI text","Contact Privacy Team","Kontakto Ekipin e Privatësisë",""
"contactSeller","contactSeller","General UI text","Contact","Kontakto",""
"contactSent","contactSent","Alert or exclamation","Contact message sent!","Mesazhi i kontaktit u dërgua!",""
"contactSupport","contactSupport","General UI text","Svyazatsya s podderzhkoy","Kontakto mbështetjen",""
"contactSupportDesc","contactSupportDesc","Description text","Svyazhites s our komandoy support","Lidhuni me ekipin tonë të mbështetjes",""
"contactTeam","contactTeam","General UI text","Svyazatsya s komandoy","Kontakto Ekipin",""
"contactUs","contactUs","General UI text","Svyazatsya s nami","Na Kontaktoni",""
"contacted","contacted","General UI text","Contacted","",""
"continue","continue","General UI text","Continue","Vazhdo",""
"continueToSite","continueToSite","General UI text","Go to {country} site","Vazhdo në faqen e {country}",""
"controlPrivacyPreferences","controlPrivacyPreferences","General UI text","Control your privacy preferences and data sharing","Kontrollo preferencat e privatësisë dhe ndarjen e të dhënave",""
"conversionRate","conversionRate","General UI text","Conversion Rate","Shkalla e konvertimit",""
"convertible","convertible","General UI text","Convertible","Kabriolet",""
"convertibles","convertibles","General UI text","Convertibles","Makina të Çkupta",""
"cookiePolicy","cookiePolicy","General UI text","Cookie Policy","Politika e cookies",""
"cookieSupport","cookieSupport","General UI text","Support cookies","Mbështetja për Cookies",""
"cooledSeats","cooledSeats","General UI text","","Ulëse të ftohura",""
"copyLink","copyLink","General UI text","Copy Link","",""
"copyright","copyright","General UI text","Copyright","E drejta e autorit",""
"country","country","General UI text","Country","Gjermani",""
"countryFilteredResults","countryFilteredResults","General UI text","🔒 Resulty, otfilterovann po stranot","🔒 Rezultate të filtruara sipas vendit",""
"countrySpecificDescription","countrySpecificDescription","Description text","Obyavleniya carey avtomaticheski filteruyutsya dlya pokaza tolko carey iz tekushchey strany. Eto obespechivaet, chto polzovateli v Makedonii vidyat tolko makedonskie listings, albanskie polzovateli vidyat tolko albanskie listings i t.d.","Shpaljet e automjeteve filtrohen automatikisht për të treguar vetëm automjetet nga vendi aktual. Kjo siguron që përdoruesit në Maqedoni të shohin vetëm shpaljet maqedonase, përdoruesit shqiptarë të shohin vetëm shpaljet shqiptare, etj.",""
"countrySpecificExperience","countrySpecificExperience","General UI text","Each country site offers localized content, pricing and language options for a better experience.","Çdo faqe vendi ofron përmbajtje të lokalizuar, çmime dhe opsione gjuhësore për përvojën më të mirë.",""
"countrySpecificListings","countrySpecificListings","General UI text","Obyavleniya, spetsifichn dlya strany","Shpaljet Specifike të Vendit",""
"coupe","coupe","General UI text","Coupe","Coupe",""
"createAccount","createAccount","General UI text","Create Account","Krijo Llogari",""
"createDealerAccount","createDealerAccount","General UI text","Create Dealer Account","Create Dealer Account",""
"createListing","createListing","General UI text","Create Listing","Krijo shpalljen",""
"createNewListing","createNewListing","General UI text","Create New Listing","Krijo listë të re",""
"createNewPassword","createNewPassword","General UI text","Create your new password","",""
"createPrivateAccount","createPrivateAccount","General UI text","Create Private Account","Create Private Account",""
"createSecureDealerAccount","createSecureDealerAccount","General UI text","Create your secure dealer account","Create your secure dealer account",""
"createStrongPassword","createStrongPassword","General UI text","Create a strong password","Create a strong password",""
"createYourAccount","createYourAccount","General UI text","Create your account","Create Your Account",""
"created","created","General UI text","Created","E Krijuar",""
"creatingAccount","creatingAccount","Loading or progress text","Creating account...","Creating Account...",""
"creditScore","creditScore","General UI text","","Vendosni vlerësimin e kredisë",""
"creditScoreRange","creditScoreRange","General UI text","Credit Score Range","Gama e rezultatit të kreditit",""
"creditScoreRequired","creditScoreRequired","General UI text","Credit rating is required","Vlerësimi i kredisë është i detyrueshëm",""
"crossCountryDescription","crossCountryDescription","Description text","If someone tries to access a car listing from another country (through a direct URL), they will receive an error message that the listing is not accessible in their region.","Nëse dikush përpiqet të qaset në një shpallje automjeti nga një vend tjetër (përmes URL-së direkte), ai do të marrë një mesazh gabimi që thotë se shpallja nuk është e disponueshme në rajonin e tyre.",""
"crossCountryProtection","crossCountryProtection","General UI text","Zashchita mezhdu stranami","Mbrojtja Ndërmjet Vendeve",""
"crossover","crossover","General UI text","Crossover","Crossover",""
"cruiseControl","cruiseControl","General UI text","Cruise Control","Kontrolli i Kursit",""
"ctaDescription","ctaDescription","Description text","Esli vy looking for your sleduyushchiy car ili khotite stat chastyu our komandy, my khoteli by uslyshat ot vas.","Nëse jeni duke kërkuar për makinën tuaj të ardhshme ose doni të jeni pjesë e ekipit tonë, do të donim të dëgjonim prej jush.",""
"ctaTitle","ctaTitle","Page or section title","Gotovy prisdinitsya k nashemu puti?","Gati të Bashkoheni me Udhëtimin Tonë?",""
"currency","currency","General UI text","USD","Monedha",""
"currentCountryConfiguration","currentCountryConfiguration","General UI text","Tekushch konfiguration strany","Konfigurimi Aktual i Vendit",""
"currentCountryDescription","currentCountryDescription","Description text","Eto pokazyvaet tekushchuyu opredelennuyu country i ee nastroyki","Kjo tregon vendin aktualisht të zbuluar dhe cilësimet e tij",""
"currentInventory","currentInventory","General UI text","Current inventory","Inventari aktual",""
"currentSite","currentSite","General UI text","Current site","Faqja aktuale",""
"customer","customer","General UI text","Customer","Klienti",""
"customerFirst","customerFirst","General UI text","Customer First","Klienti i Parë",""
"customerFirstDesc","customerFirstDesc","Description text","Every decision we make is focused on providing the best possible experience for our customers.","Çdo vendim që marrim është i përqendruar rreth ofrimit të përvojës së mundshme më të mirë për klientët tanë.",""
"customerRated","customerRated","General UI text","Opriceseno clientami","Vlerësuar nga klientët",""
"customerReviews","customerReviews","General UI text","Customer reviews","Vlerësimet e klientëve",""
"customerSatisfaction","customerSatisfaction","General UI text","Customer satisfaction","Kënaqësia e klientëve",""
"customerService","customerService","General UI text","Customer Service","Shërbimi ndaj klientit",""
"customerTracking","customerTracking","General UI text","• Customer inquiry tracking","• Customer inquiry tracking",""
"cvt","cvt","General UI text","CVT","CVT",""
"dashboard","dashboard","General UI text","Administrator Panel","Paneli i administratorit",""
"dataAnalytics","dataAnalytics","General UI text","Data Analytics","Analitika e të dhënave",""
"dataMinimization","dataMinimization","General UI text","Data Minimization","Minimizimi i të Dhënave",""
"dataSecurity","dataSecurity","General UI text","Data Security","Siguria e të Dhënave",""
"dateRequired","dateRequired","General UI text","Please select a preferred date","Ju lutem zgjidhni një datë të preferuar",""
"dayAgo","dayAgo","General UI text","day ago","ditë më parë",""
"days","days","General UI text","days","ditë",""
"daysAgo","daysAgo","General UI text","d ago","d më parë",""
"dealer","dealer","General UI text","Dealer","Shitës",""
"dealerAccount","dealerAccount","General UI text","Dealer Account","Llogari dileri",""
"dealerBenefits","dealerBenefits","General UI text","Dealer Benefits","Dealer Benefits",""
"dealerDashboard","dealerDashboard","General UI text","Dealer Dashboard","Paneli i dilerit",""
"dealerDescription","dealerDescription","Description text","Professional seller","Professional seller",""
"dealerFees","dealerFees","General UI text","Dealer Fees","",""
"dealerInfo","dealerInfo","General UI text","Information o dealere","Informacioni i Shitësit",""
"dealerNameOrCity","dealerNameOrCity","General UI text","Dealer name or city","Emri i dilerit ose qyteti",""
"dealerNotFound","dealerNotFound","General UI text","Dealer not found","Shitësi nuk u gjet",""
"dealerNotFoundMessage","dealerNotFoundMessage","General UI text","The dealer profile you are looking for does not exist.","Profili i shitësit që kërkoni nuk ekziston.",""
"dealerPartners","dealerPartners","General UI text","Dealer Partners","Partnerë Shitës",""
"dealerRating","dealerRating","General UI text","Dealer Rating","",""
"dealerRegistration","dealerRegistration","General UI text","Dealer Registration","Dealer Registration",""
"dealerSupport","dealerSupport","General UI text","Dealer Support","Mbështetja e dilerëve",""
"dealers","dealers","General UI text","","Dilerët",""
"dealersFound","dealersFound","General UI text","dealers naydeno","dilerë u gjetën",""
"dealersOnly","dealersOnly","General UI text","Dealers Only","Vetëm tregtarët",""
"dealershipLocation","dealershipLocation","General UI text","Physical location of your dealership","Your dealership",""
"december","december","General UI text","December","Dhjetor",""
"default","default","General UI text","Default","",""
"delete","delete","General UI text","Delete","Fshi",""
"deleteAccount","deleteAccount","General UI text","Delete Account","Fshi llogarinë",""
"deleteListing","deleteListing","General UI text","Udalit listing","Fshi Shpalljen",""
"deleted","deleted","Alert or exclamation","Successfully deleted!","U fshi me sukses!",""
"demonstratesAutoFallback","demonstratesAutoFallback","General UI text","Demonstriruet avtomaticheskiy rezerv dlya povrezhdenn izobrazheniy","Demonstron rezervën automatike për imazhe të thyera",""
"describeYourVehicle","describeYourVehicle","Description text","Describe your vehicle...","Përshkruani automjetin tuaj...",""
"description","description","Description text","Well-maintained vehicle in excellent condition.","Automjet i mirëmbajtur në gjendje të shkëlqyer.",""
"descriptionExample","descriptionExample","Description text","Describe your vehicle condition, history and additional details...","Përshkruani gjendjen e automjetit tuaj, historikun dhe detaje të tjera shtesë...",""
"descriptionOptional","descriptionOptional","Description text","Description (Optional)","Përshkrimi (Opsional)",""
"descriptionPlaceholder","descriptionPlaceholder","Form placeholder text","Describe your car features, history and why it is a great buy...","Përshkruani karakteristikat e makinës tuaj, historinë dhe pse është një blerje e shkëlqyer...",""
"desiredLoanAmount","desiredLoanAmount","General UI text","Desired Loan Amount","",""
"destructive","destructive","General UI text","Destructive","Shkatërrues",""
"details","details","General UI text","Error Details","Detaje",""
"detectedCountry","detectedCountry","General UI text","Opredelenn strana","Vendi i Zbuluar",""
"detectedFrom","detectedFrom","General UI text","We detected that you are visiting from","Zbuluam se po vizitoni nga",""
"detectedLocation","detectedLocation","General UI text","Detected location","Vendndodhja e zbuluar",""
"developmentCountrySwitcher","developmentCountrySwitcher","General UI text","Pereklyuchatel stran razrabotki","Ndërrues Vendi Zhvillimi",""
"developmentMode","developmentMode","General UI text","Rezhim razrabotki","Modaliteti i Zhvillimit",""
"developmentNote","developmentNote","General UI text","<strong>Primechanie:</strong> V proizvodstve strany avtomaticheski definotsya iz poddomena (naprimer, mk.carmaket365.com, al.carmaket365.com). Etot pereklyuchatel rabotaet tolko v rezhime razrabotki.","<strong>Shënim:</strong> Në prodhim, vendet zbulohen automatikisht nga nëndomena (p.sh., mk.carmarket365.com, al.carmarket365.com). Ky ndërrues funksionon vetëm në modalitetin e zhvillimit.",""
"diesel","diesel","General UI text","Diesel","Naftë",""
"disabled","disabled","General UI text","Disabled","I çaktivizuar",""
"disclaimer","disclaimer","General UI text","Payment calculations are estimates and may not reflect actual loan terms.","Ky kalkulator jep një vlerësim bazuar në informacionin e dhënë. Kushtet aktuale të financimit mund të ndryshojnë bazuar në historikun e kredisë, të ardhurat dhe faktorë të tjerë.",""
"disclaimerText","disclaimerText","General UI text","","Vlerësimi është bazuar në informacionin e dhënë dhe kushtet aktuale të tregut.",""
"discover","discover","General UI text","Discover our carefully selected premium vehicles","Zbuloni automjetet tona premium të përzgjedhura me kujdes",""
"displayContactOnListings","displayContactOnListings","General UI text","Display your contact information on listings","Shfaq informacionet e kontaktit në lista",""
"disputeResolution","disputeResolution","General UI text","Dispute Resolution","Zgjidhja e Mosmarrëveshjeve",""
"disputes","disputes","General UI text","Disputes","Mosmarrëveshjet",""
"documentation","documentation","General UI text","Gather all of service records and documentation","",""
"domain","domain","General UI text","Domen","Domeni",""
"done","done","General UI text","","Përfunduar",""
"dontHaveAccount","dontHaveAccount","General UI text","Don\","Nuk keni ende një llogari?",""
"doors","doors","General UI text","Doors","Dyert",""
"downPayment","downPayment","General UI text","Down Payment","Pagesë Fillestare",""
"downPaymentInvalid","downPaymentInvalid","General UI text","","Ju lutem vendosni një shumë të vlefshme",""
"downPaymentPercent","downPaymentPercent","General UI text","Down Payment Percentage","Përqindja e Pagesës Fillestare",""
"downPaymentRequired","downPaymentRequired","General UI text","","Pagesë fillestare është e detyrueshme",""
"downloadMyData","downloadMyData","General UI text","Download My Data","Shkarko të dhënat e mia",""
"draft","draft","General UI text","Save as draft","Ruaj si draft",""
"draftSaved","draftSaved","General UI text","Draft saved","Drafti u ruajt",""
"dragDropPhotos","dragDropPhotos","Action instruction","Drag and drop photos here, or click to select","Tërhiq dhe lësho fotot këtu, ose kliko për të përzgjedhur",""
"drivetrain","drivetrain","General UI text","Drive type","Sistemi i Lëvizjes",""
"dsntExist","dsntExist","General UI text","The car you are looking for does not exist or has been removed.","",""
"ecoFriendly","ecoFriendly","General UI text","Ekologichn","Miqësore me Mjedisin",""
"ecoWheelsDescription","ecoWheelsDescription","Description text","Vedushchiy spetsialist po elektricheskim i gibridnym carm v Gamburge. Priverzhen ekologichnym vehiclenym resheniyam.","Specialist kryesor për automjete elektrike dhe hibride në Hamburg. I përkushtuar ndaj zgjidhjeve të transportit të qëndrueshëm.",""
"edit","edit","General UI text","Edit","Redakto",""
"editListing","editListing","General UI text","Redaktirovat listing","Ndrysho Shpalljen",""
"editUser","editUser","General UI text","Edit User","Ndrysho Përdoruesin",""
"egFiftyThousand","egFiftyThousand","General UI text","naprimer, 50,000","p.sh. 50,000",""
"eightHoursAgo","eightHoursAgo","General UI text","8 hours ago","8 orë më parë",""
"electric","electric","General UI text","Electric","Elektrikë",""
"electricVehicles","electricVehicles","General UI text","Elektromobili","Automjete Elektrike",""
"electricWindows","electricWindows","General UI text","Electric Windows","Dritare elektrike",""
"electronicStabilityControl","electronicStabilityControl","Tab label","","Kontrolli elektronik i stabilitetit",""
"eliteCars","eliteCars","General UI text","Elite Cars","Elite Cars",""
"email","email","General UI text","Email","Futni adresën tuaj të email-it",""
"emailAddress","emailAddress","General UI text","Adres elektronnoy pochty","Adresa e email-it",""
"emailAddressRequired","emailAddressRequired","General UI text","Email Address *","Adresa e Email-it *",""
"emailAddresses","emailAddresses","General UI text","Email Addresses","Adresat e email-it",""
"emailDealer","emailDealer","General UI text","Email Dealer","",""
"emailExample","emailExample","General UI text","your.email@example.com","email.juaj@shembull.com",""
"emailHours","emailHours","General UI text","Email podderzhka: 24/7 otvet v techenie 4 chasov","Mbështetja me email: 24/7 përgjigje brenda 4 orësh",""
"emailInvalid","emailInvalid","General UI text","Please enter a valid email","Ju lutem vendosni një email të vlefshëm",""
"emailNotifications","emailNotifications","General UI text","Email Notifications","Njoftimet me email",""
"emailPlaceholder","emailPlaceholder","Form placeholder text","Enter your email","Shkruani email-in tuaj",""
"emailRequired","emailRequired","General UI text","Email *","Email-i *",""
"emailToFriend","emailToFriend","General UI text","Email to Friend","",""
"emailUs","emailUs","General UI text","Email Us","Na Dërgoni Email",""
"emailValue","emailValue","General UI text","info@carmaket365.com","info@carmarket365.com",""
"employmentStatus","employmentStatus","General UI text","","Zgjidhni statusin e punësimit",""
"employmentStatusRequired","employmentStatusRequired","General UI text","Employment status is required","Statusi i punësimit është i detyrueshëm",""
"enabled","enabled","General UI text","Enabled","I aktivizuar",""
"endOfResults","endOfResults","General UI text","End of results","Fundi i rezultateve",""
"engineSize","engineSize","General UI text","Engine Size","Madhësia e motorit",""
"enginot","enginot","General UI text","Enginot","",""
"enhancedAccordion","enhancedAccordion","General UI text","Uluchshen akkordeon","Akordeon i Përmirësuar",""
"enhancedFeatures","enhancedFeatures","General UI text","Uluchshenn funktsii","Karakteristika të Përmirësuara",""
"enhancedFormComponents","enhancedFormComponents","General UI text","","Komponentë Forme të Përmirësuara",""
"enhancedFormComponotnts","enhancedFormComponotnts","General UI text","Uluchshenn komponotnty form","",""
"enhancedUIComponentsDemo","enhancedUIComponentsDemo","General UI text","Enhanced UI Components Demonstration","Demo e Komponentëve UI të Përmirësuara",""
"enhancedVisibility","enhancedVisibility","General UI text","• Enhanced listing visibility","• Enhanced listing visibility",""
"enterAnnualIncome","enterAnnualIncome","General UI text","Enter annual income","",""
"enterAskingPrice","enterAskingPrice","General UI text","Enter asking price","Shkruani çmimin e kërkuar",""
"enterCity","enterCity","General UI text","Vvedite gorod","Shkruani qytetin",""
"enterCredentials","enterCredentials","General UI text","Enter your credentials to access your account","Enter your credentials to access your account",""
"enterDescription","enterDescription","Description text","Enter description","Shkruani përshkrimin",""
"enterEmail","enterEmail","General UI text","Vvedite adres elektronnoy pochty","Shkruani email-in",""
"enterFullName","enterFullName","General UI text","Enter your full name","Enter your full name",""
"enterLoanAmount","enterLoanAmount","General UI text","Enter loan amount","",""
"enterLocation","enterLocation","General UI text","Vvedite vashe mestopolozhenie","Shkruani vendndodhjen",""
"enterMessage","enterMessage","General UI text","Enter your message","Shkruani mesazhin tuaj",""
"enterMileage","enterMileage","General UI text","Vvedite probeg","Shkruani kilometrazhin",""
"enterModel","enterModel","General UI text","Vvedite model","Shkruani modelin",""
"enterMonthlyExpenses","enterMonthlyExpenses","General UI text","Enter monthly expenses","",""
"enterName","enterName","General UI text","Enter name","Shkruani emrin",""
"enterPassword","enterPassword","General UI text","Vvedite parol","Shkruani fjalëkalimin",""
"enterPhone","enterPhone","General UI text","Vvedite nomer Phonea","Shkruani telefonin",""
"enterPrice","enterPrice","General UI text","Enter asking price","Shkruani çmimin",""
"enterRequests","enterRequests","Question or prompt","Any special requests or questions?","Keni ndonjë kërkesë të veçantë apo pyetje?",""
"enterYourEmail","enterYourEmail","General UI text","Enter your email","Enter your email",""
"enterYourPassword","enterYourPassword","General UI text","Enter your password","Enter your password",""
"error","error","Error message","Error","Gabim",""
"errorLoadingImage","errorLoadingImage","Error message","Error loading image","",""
"errorPrefix","errorPrefix","Error message","Oshibka:","Gabim:",""
"errorRate","errorRate","Error message","Error Rate","Shkalla e Gabimeve",""
"errorSaving","errorSaving","Error message","Error saving listing","Gabim në ruajtje",""
"established","established","Tab label","Established","Themeluar",""
"estimate","estimate","General UI text","This is an approximate calculation. Actual terms may differ.","Ky është një vlerësim. Kushtet aktuale mund të ndryshojnë.",""
"estimatedPayment","estimatedPayment","General UI text","Estimated Monthly Payment","",""
"estimatedValue","estimatedValue","General UI text","Estimated Value:","Vlera e vlerësuar:",""
"euros","euros","General UI text","EUR","euro",""
"excellent","excellent","General UI text","Excellent","E shkëlqyer",""
"excellentCondition","excellentCondition","General UI text","Excellent Condition","",""
"experience","experience","General UI text","Opyt:","Eksperience:",""
"expired","expired","General UI text","Expired","",""
"exploreInventory","exploreInventory","General UI text","Explore Inventory","Eksploro Inventarin",""
"export","export","General UI text","Export","Eksporto",""
"exportReport","exportReport","General UI text","Export Report","Eksporto Raport",""
"express","express","Action instruction","Express Sale","Shpejtë",""
"expressBadge","expressBadge","Action instruction","Express","",""
"expressListings","expressListings","Action instruction","Express Listings","",""
"expressSale","expressSale","Action instruction","Express Sale","Express Sale",""
"expressSaleListings","expressSaleListings","Action instruction","Express Sale Listings","Express Sale Listings",""
"expressTitle","expressTitle","Page or section title","Express Sale","Shitje ekspres",""
"exteriorColor","exteriorColor","General UI text","Exterior Color","Ngjyra e Jashtme",""
"exteriorColorExample","exteriorColorExample","General UI text","e.g., white, black, silver","p.sh. e bardhë, e zezë, argjendi",""
"facebook","facebook","General UI text","Facebook","Facebook",""
"failedToLoad","failedToLoad","General UI text","Ne udalos upload detali car.","Dështoi ngarkimi",""
"fair","fair","General UI text","Fair","Mesatare",""
"familyCars","familyCars","General UI text","Semeyn cari","Makina Familjare",""
"faq","faq","General UI text","Frequently Asked Questions","Pyetje të shpeshta",""
"favoriteAdded","favoriteAdded","Alert or exclamation","Added to favorites!","U shtua në të preferuarat!",""
"favoriteRemoved","favoriteRemoved","Alert or exclamation","Removed from favorites!","U hoq nga të preferuarat!",""
"feature1","feature1","General UI text","Funktsiya 1","Karakteristika 1",""
"feature2","feature2","General UI text","Funktsiya 2","Karakteristika 2",""
"featured","featured","General UI text","Featured","Në fokus",""
"features","features","General UI text","Basic Features","Karakteristikat Kryesore",""
"featuresAndOptions","featuresAndOptions","General UI text","Features and Options","Karakteristikat dhe opsionet",""
"featuresOptions","featuresOptions","General UI text","","Karakteristikat dhe Opsionet",""
"feedback","feedback","General UI text","Feedback","Përshtypjet",""
"feedbackMessage","feedbackMessage","General UI text","Esli vy stolknulis s prepyatstviyami accessibilityi ili u vas est predlozheniya po uluchsheniyu, not stesnyaytes obrashchatsya k nam po adresu accessibility@carmaket365.com","Nëse hasni ndonjë pengesë aksesueshmërie ose keni sugjerime për përmirësim, mos hezitoni të na kontaktoni në accessibility@carmarket365.com",""
"feedbackText","feedbackText","General UI text","Esli u vas voznikli problemy s accessibilityyu ili est predlozheniya po uluchsheniyu, contact s nami po adresu accessibility@carmaket365.com","Nëse hasni probleme me aksesueshmërinë ose keni sugjerime për përmirësim, na kontaktoni në accessibility@carmarket365.com",""
"feedbackTitle","feedbackTitle","Page or section title","Otzyvy o accessibilityi?","Komente mbi Aksesueshmërinë?",""
"fees","fees","General UI text","","Tarifa",""
"feesDescription","feesDescription","Description text","","Përshkrim i tarifave",""
"fetchingData","fetchingData","Loading or progress text","Fetching maket data...","Po merren të dhënat e tregut...",""
"fileTooBig","fileTooBig","General UI text","File size is too large.","Madhësia e skedarit është shumë e madhe.",""
"filter","filter","General UI text","filter","filtër",""
"filterBy","filterBy","General UI text","Filterovat po","Filtro sipas",""
"filterByPriceRange","filterByPriceRange","General UI text","Filter by price range","Filtro sipas diapazonit të çmimit",""
"filterBySavedDate","filterBySavedDate","General UI text","Filter by saved date","Filtro sipas datës së ruajtjes",""
"filterByStatus","filterByStatus","General UI text","Filter by status","Filtro sipas gjendjes",""
"filterPlaceholder","filterPlaceholder","Form placeholder text","Filter","Filtro",""
"filters","filters","General UI text","filters","Filtrat",""
"filtersButton","filtersButton","Button label","Show Filters","Shfaq filtrat",""
"financialInformation","financialInformation","General UI text","Financial Information","",""
"financing","financing","General UI text","Financing and Payments","Financimi",""
"financingAvailable","financingAvailable","General UI text","Financing Available","Financimi i Disponueshëm",""
"financingDepartment","financingDepartment","General UI text","Financing Department","Departamenti i financimit",""
"financingOptions","financingOptions","General UI text","Financing Options","Opsionet e financimit",""
"findFinancing","findFinancing","General UI text","Find financing options","Gjej Opsione Financimi",""
"firstName","firstName","General UI text","Name","Emri",""
"firstNamePlaceholder","firstNamePlaceholder","Form placeholder text","Ivan","Imer",""
"firstNameRequired","firstNameRequired","General UI text","Name is required","First name is required",""
"flagged","flagged","General UI text","Flagged","E Sinjalizuar",""
"flaggedListings","flaggedListings","General UI text","Flagged Listings","Shpaljet e Sinjalizuara",""
"fleetSales","fleetSales","General UI text","Prodazha avtoparkov","Shitje Flote",""
"flexFuel","flexFuel","General UI text","Flex Fuel","Flex Fuel",""
"followUs","followUs","General UI text","Follow Us","Na ndiqni",""
"footerMessage","footerMessage","Footer text","Administrative Control - ","Kontrolli administrativ - ",""
"forBuyers","forBuyers","General UI text","For Buyers","Për Blerësit",""
"forMonths","forMonths","General UI text","","për muaj",""
"forSellers","forSellers","General UI text","For Sellers","Për Shitësit",""
"forbidden","forbidden","General UI text","Access to this resource is forbidden.","Aksesi në këtë burim është i ndaluar.",""
"forgotPassword","forgotPassword","General UI text","Forgot Password","Harruat Fjalëkalimin",""
"formComponentsWithValidation","formComponentsWithValidation","General UI text","","Komponentë forme me validim dhe aksesueshmëri të përmirësuar",""
"formComponotntsWithValidation","formComponotntsWithValidation","General UI text","Komponotnty form s uluchshennoy validatsiey i accessibilityyu","",""
"forms","forms","General UI text","Forms","Forma",""
"formsWorkAnswer","formsWorkAnswer","General UI text","Komponotnty form postrny s integratsiey React Hook Form, avtomaticheskoy validatsiey i uluchshenn funktsiyami accessibilityi. Oni obespechivayut luchshuyu obrabotku oshibok i obratnuyu svyaz s polzovatelem.","Komponentët e formave janë ndërtuar me integrimin e React Hook Form, validim automatik dhe karakteristika të përmirësuara aksesueshmërie. Ata ofrojnë trajtim më të mirë të gabimeve dhe reagim nga përdoruesi.",""
"foundCars","foundCars","General UI text","Naydeno {count} car(ey) v {country}","U gjetën {count} automjet(e) në {country}",""
"foundCarsIn","foundCarsIn","General UI text","Naydeno {count} carey v {country}","U gjetën {count} makina në {country}",""
"fourHoursAgo","fourHoursAgo","General UI text","4 hours ago","4 orë më parë",""
"fourWD","fourWD","General UI text","","4x4",""
"fourwd","fourwd","General UI text","4x4 Drive","Katër rrota lëvizëse",""
"france","france","General UI text","France","France",""
"frequentlyAskedQuestions","frequentlyAskedQuestions","General UI text","","Pyetje të shpeshta",""
"from","from","General UI text","from","nga",""
"fromLastMonth","fromLastMonth","General UI text","from last month","nga muaji i kaluar",""
"fromYesterday","fromYesterday","General UI text","since yesterday","nga dje",""
"frontWheelDrive","frontWheelDrive","General UI text","Front-Wheel Drive","Drejt përpara",""
"fuelEconomy","fuelEconomy","General UI text","Fuel consumption","Ekonomia e Karburantit",""
"fuelType","fuelType","General UI text","Fuel type","Lloji i Karburantit",""
"fuelTypeRequired","fuelTypeRequired","General UI text","Fuel type *","Lloji i karburantit *",""
"fuelTypes","fuelTypes","General UI text","Fuel Type","Lloji i karburantit",""
"fullName","fullName","General UI text","Full Name","Emri i plotë",""
"fullNameRequired","fullNameRequired","General UI text","Full Name *","Emri i Plotë *",""
"fwd","fwd","General UI text","Front-Wheel Drive","Traction përpara (FWD)",""
"gasoline","gasoline","General UI text","Gasoline","Benzinë",""
"gasolinot","gasolinot","General UI text","Gasoline","",""
"generalInquiries","generalInquiries","General UI text","General Inquiries","Pyetje të përgjithshme",""
"generic","generic","General UI text","Something went wrong. Please try again.","Diçka shkoi keq. Ju lutemi provoni përsëri.",""
"genotrateQR","genotrateQR","General UI text","Genotrate QR Code","",""
"germany","germany","General UI text","Germany","Germany",""
"getDirections","getDirections","General UI text","Get directions","Merr udhëzimet",""
"getEstimate","getEstimate","General UI text","","Merr Vlerësimin",""
"getListingHelp","getListingHelp","General UI text","Poluchit help s listingsmi","Merr ndihmë për listime",""
"getPreApproved","getPreApproved","General UI text","Get Pre-approved","Merr Para-miratime",""
"getQuotes","getQuotes","General UI text","Get Dealer Quotes","",""
"getUpdatesFeatures","getUpdatesFeatures","General UI text","Get updates about new features and business opportunities.","Get updates about new features and business opportunities.",""
"gettingStarted","gettingStarted","General UI text","Nachalo raboty","Fillimi",""
"gettingStartedDesc","gettingStartedDesc","Description text","Vvedenie nov dealers i nastroyka accounta","Orientimi i shitësve të rinj dhe konfigurimi i llogarisë",""
"ghost","ghost","General UI text","Ghost","Fantazmë",""
"global","global","General UI text","Global","Global",""
"goBack","goBack","General UI text","Vernutsya nazad","Kthehu prapa",""
"goHome","goHome","General UI text","Go Home","Kthehu në faqen kryesore",""
"goToDealerDashboard","goToDealerDashboard","General UI text","Pereyti na panotl dealera","Shko në Panelin e Dilerit",""
"gold","gold","General UI text","Gold","Ari",""
"good","good","General UI text","Good","Mirë",""
